id,client_id,title,category,city,latitude,longitude,urgency,budget_min,budget_max,desc_len,n_photos,status,created_at
1,215,Porte qui frotte,Menuiserie,Fès,34.12763,-4.89939,urgent,210,2860,122,2,completed,2025-08-27
2,105,Rafraîchir façade,Peinture,Meknès,33.92059,-5.45887,normal,140,2080,194,0,completed,2025-06-19
3,377,Porte qui frotte,Menuiserie,Meknès,33.79545,-5.57389,normal,210,2860,298,1,open,2025-11-30
4,115,Panne de courant,Électricité,Meknès,33.99905,-5.6311,normal,140,1820,242,4,completed,2025-11-11
5,132,Réparer parquet,Menuiserie,Tanger,35.79331,-5.86306,urgent,210,2860,79,3,completed,2025-09-13
6,264,Porte qui frotte,Menuiserie,Fès,33.97396,-5.09034,normal,210,2860,236,2,completed,2025-10-10
7,95,Réseau WiFi,Informatique,Agadir,30.39075,-9.49562,urgent,70,1170,296,4,completed,2025-08-11
8,192,Clim qui ne refroidit plus,Climatisation,Fès,34.05046,-4.90603,normal,350,4160,227,5,open,2025-09-06
9,8,Placard sur mesure,Menuiserie,Casablanca,33.64561,-7.64649,normal,210,2860,35,4,completed,2025-09-09
10,296,Installer interphone,Serrurerie,Oujda,34.79323,-1.92152,normal,70,910,255,0,completed,2026-02-23
11,96,Décoration chambre,Peinture,Tanger,35.82588,-5.83673,normal,140,2080,79,5,completed,2025-10-17
12,219,Chaudière à réviser,Climatisation,Casablanca,33.67359,-7.67062,normal,350,4160,264,0,open,2025-11-03
13,65,Terrasse à carreler,Carrelage,Agadir,30.41754,-9.58658,très urgent,175,2600,288,1,completed,2025-09-12
14,398,Fuite sous l'évier,Plomberie,Marrakech,31.67997,-8.01268,urgent,105,1170,107,4,completed,2026-03-04
15,118,Caméras surveillance,Informatique,Fès,34.00616,-5.08646,normal,70,1170,346,1,completed,2025-08-21
16,218,Créer une ouverture,Maçonnerie,Agadir,30.33027,-9.49666,normal,280,4550,229,4,completed,2026-01-30
17,370,Repeindre le salon,Peinture,Casablanca,33.48118,-7.54475,urgent,140,2080,136,5,completed,2025-07-05
18,74,Engazonnement,Jardinage,Fès,34.09051,-4.93362,très urgent,105,1170,154,3,completed,2026-01-05
19,128,Terrasse à carreler,Carrelage,Rabat,33.96172,-6.74451,normal,175,2600,235,0,completed,2026-05-15
20,228,Réparer parquet,Menuiserie,Agadir,30.48414,-9.70388,normal,210,2860,189,4,open,2026-04-07
21,242,Enduit à refaire,Maçonnerie,Oujda,34.6432,-1.99251,urgent,280,4550,262,1,open,2025-11-26
22,140,Robinet qui goutte,Plomberie,Meknès,33.96658,-5.60018,urgent,105,1170,248,4,open,2025-11-01
23,116,Désinfection locaux,Nettoyage,Rabat,33.93194,-6.79149,très urgent,70,780,215,1,completed,2026-02-13
24,222,Changer cylindre,Serrurerie,Casablanca,33.60295,-7.51084,normal,70,910,171,2,completed,2026-01-05
25,43,WC bouché,Plomberie,Rabat,34.06697,-6.84472,normal,105,1170,143,4,completed,2025-07-28
26,311,Montage meubles,Déménagement,Meknès,33.91655,-5.46721,urgent,210,2860,51,4,open,2025-07-25
27,295,Panne de courant,Électricité,Rabat,34.12181,-6.89812,normal,140,1820,339,3,completed,2025-11-29
